inclusion nb ; x ; y ; z
73 ; -0.0240131 ; 0.0389959 ; 0.0497874
74 ; 0.0512714 ; 0.0195421 ; 0.00358091
75 ; 0.08974 ; 0.0481851 ; 0.0568632
75 ; -0.01026 ; 0.0481851 ; 0.0568632
76 ; 0.0463245 ; 0.05428 ; 0.00853147
77 ; 0.0873714 ; 0.0377204 ; 0.104497
77 ; -0.0126286 ; 0.0377204 ; 0.104497
77 ; 0.0873714 ; 0.0377204 ; 0.00449741
77 ; -0.0126286 ; 0.0377204 ; 0.00449741
78 ; 0.0626794 ; -0.0021094 ; 0.0386833
78 ; 0.0626794 ; 0.0978906 ; 0.0386833
79 ; 0.0144388 ; 0.0160715 ; 0.034468
79 ; 0.114439 ; 0.0160715 ; 0.034468
80 ; -0.00999424 ; 0.0105303 ; 0.00885888
80 ; 0.0900058 ; 0.0105303 ; 0.00885888
81 ; 0.0274594 ; 0.0175703 ; 0.0483201
82 ; 0.0810548 ; 0.0259125 ; 0.056427
82 ; -0.0189452 ; 0.0259125 ; 0.056427
83 ; 0.01268 ; 0.0395708 ; 0.072221
83 ; 0.11268 ; 0.0395708 ; 0.072221
84 ; 0.0160605 ; 0.0734302 ; 0.102244
84 ; 0.0160605 ; 0.0734302 ; 0.00224447
84 ; 0.11606 ; 0.0734302 ; 0.00224447
85 ; 0.0414052 ; 0.0102608 ; 0.0522531
86 ; 0.0766276 ; 0.080207 ; 0.0664488
86 ; -0.0233724 ; 0.080207 ; 0.0664488
87 ; 0.0717965 ; 0.0879389 ; 0.0741394
88 ; 0.102996 ; 0.0432038 ; 0.0832015
88 ; 0.00299646 ; 0.0432038 ; 0.0832015
89 ; 0.00690355 ; 0.0393996 ; -0.00247243
89 ; 0.106904 ; 0.0393996 ; 0.0975276
89 ; 0.00690355 ; 0.0393996 ; 0.0975276
90 ; 0.0366626 ; 0.0305459 ; 0.107569
90 ; 0.0366626 ; 0.0305459 ; 0.00756924
91 ; 0.0765588 ; 0.0981683 ; 0.0634995
91 ; 0.0765588 ; -0.00183172 ; 0.0634995
92 ; 0.0248194 ; 0.0555152 ; 0.0700235
92 ; 0.124819 ; 0.0555152 ; 0.0700235
93 ; 0.0890057 ; 0.016521 ; 0.0508952
93 ; -0.0109943 ; 0.016521 ; 0.0508952
94 ; 0.0291137 ; 0.0709962 ; 0.0715366
95 ; 0.117477 ; -0.00417752 ; 0.0741442
95 ; 0.0174767 ; -0.00417752 ; 0.0741442
95 ; 0.117477 ; 0.0958225 ; 0.0741442
95 ; 0.0174767 ; 0.0958225 ; 0.0741442
96 ; -0.0240808 ; 0.0642271 ; 0.0879985
96 ; 0.0759192 ; 0.0642271 ; 0.0879985
97 ; 0.057847 ; 0.0104704 ; 0.0262923
98 ; 0.015743 ; 0.0863575 ; 0.0110202
98 ; 0.115743 ; 0.0863575 ; 0.0110202
99 ; 0.120492 ; 0.0889738 ; 0.03859
99 ; 0.020492 ; 0.0889738 ; 0.03859
100 ; 0.0528798 ; 0.0349919 ; 0.0110218
101 ; 0.0493447 ; 0.0692035 ; 0.0196106
102 ; 0.0106534 ; 0.0736282 ; 0.042991
102 ; 0.110653 ; 0.0736282 ; 0.042991
103 ; 0.0531588 ; 0.0153404 ; 0.0729782
104 ; 0.0565934 ; 0.0752433 ; 0.0826325
105 ; -0.0211992 ; 0.0562699 ; 0.0622107
105 ; 0.0788008 ; 0.0562699 ; 0.0622107
