inclusion nb ; x ; y ; z
97 ; 0.057847 ; 0.0104704 ; 0.0262923
98 ; 0.0199217 ; 0.0862928 ; 0.0113409
98 ; 0.0958045 ; 0.0866661 ; 0.00949004
99 ; 0.0981639 ; 0.090681 ; 0.0396736
99 ; 0.0222821 ; 0.0888369 ; 0.0385031
100 ; 0.0528798 ; 0.0349919 ; 0.0110218
101 ; 0.0493447 ; 0.0692035 ; 0.0196106
102 ; 0.0171665 ; 0.0722957 ; 0.0430667
102 ; 0.0934775 ; 0.0771422 ; 0.0427912
103 ; 0.0531588 ; 0.0153404 ; 0.0729782
104 ; 0.0565934 ; 0.0752433 ; 0.0826325
105 ; 0.00152796 ; 0.057339 ; 0.0625525
105 ; 0.0773286 ; 0.0562006 ; 0.0621886
