inclusion nb ; Z rotation ; theta ; phi ; rotMat11 ; rotMat12 ; rotMat13 ; rotMat21 ; rotMat22 ; rotMat23 ; rotMat31 ; rotMat32 ; rotMat33
21  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
21  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
22  ;  0 ; 105.047 ; 167.654 ; 0.253615 ; -0.213816 ; -0.943378 ; -0.0555106 ; -0.976874 ; 0.206484 ; -0.965711 ; 0 ; -0.259619
22  ;  0 ; 105.047 ; 167.654 ; 0.253615 ; -0.213816 ; -0.943378 ; -0.0555106 ; -0.976874 ; 0.206484 ; -0.965711 ; 0 ; -0.259619
23  ;  0 ; 87.2303 ; 179.211 ; -0.0483176 ; -0.0137741 ; -0.998737 ; 0.000665595 ; -0.999905 ; 0.013758 ; -0.998832 ; 0 ; 0.0483222
24  ;  0 ; 105.111 ; 171.415 ; 0.257767 ; -0.149275 ; -0.954606 ; -0.0389141 ; -0.988796 ; 0.144113 ; -0.965423 ; 0 ; -0.260687
24  ;  0 ; 105.111 ; 171.415 ; 0.257767 ; -0.149275 ; -0.954606 ; -0.0389141 ; -0.988796 ; 0.144113 ; -0.965423 ; 0 ; -0.260687
25  ;  0 ; 108.281 ; 148.149 ; 0.266448 ; -0.527707 ; -0.806555 ; -0.165531 ; -0.849427 ; 0.501073 ; -0.949529 ; 0 ; -0.31368
25  ;  0 ; 108.281 ; 148.149 ; 0.266448 ; -0.527707 ; -0.806555 ; -0.165531 ; -0.849427 ; 0.501073 ; -0.949529 ; 0 ; -0.31368
26  ;  0 ; 79.9168 ; 171.99 ; -0.173369 ; -0.139341 ; -0.97495 ; 0.0243955 ; -0.990244 ; 0.137189 ; -0.984555 ; 0 ; 0.175077
26  ;  0 ; 79.9168 ; 171.99 ; -0.173369 ; -0.139341 ; -0.97495 ; 0.0243955 ; -0.990244 ; 0.137189 ; -0.984555 ; 0 ; 0.175077
27  ;  0 ; 67.465 ; 6.69665 ; 0.380633 ; -0.116613 ; 0.917344 ; 0.0446915 ; 0.993177 ; 0.107709 ; -0.923646 ; 0 ; 0.383248
27  ;  0 ; 67.465 ; 6.69665 ; 0.380633 ; -0.116613 ; 0.917344 ; 0.0446915 ; 0.993177 ; 0.107709 ; -0.923646 ; 0 ; 0.383248
28  ;  0 ; 90.7754 ; 175.558 ; 0.0134915 ; -0.0774517 ; -0.996905 ; -0.00104809 ; -0.996996 ; 0.0774446 ; -0.999908 ; 0 ; -0.0135322
